PRESIDENT 1964 State Summary
,
Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19641103,N/A,Alabama,10,0,0,"689,818","479,085","Goldwater, Barry M. Sr.",Challenger,N/A,"Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,"210,732","Unpledged Delegates, NULL  ",Challenger,1,,"268,353",R,69.45,.00,30.55,.00,100.00,.00,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Alaska,0,3,0,"67,259","22,930","Goldwater, Barry M. Sr.",Challenger,"44,329","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,N/A,,"21,399",D,34.09,65.91,.00,.00,34.09,65.91,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Arizona,5,0,0,"480,770","242,535","Goldwater, Barry M. Sr.",Challenger,"237,753","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,482,,"4,782",R,50.45,49.45,.00,.10,50.50,49.50,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Arkansas,0,6,0,"560,426","243,264","Goldwater, Barry M. Sr.",Challenger,"314,197","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,"2,965",,"70,933",D,43.41,56.06,.00,.53,43.64,56.36,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,California,0,40,0,"7,057,586","2,879,108","Goldwater, Barry M. Sr.",Challenger,"4,171,877","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,"6,601",,"1,292,769",D,40.79,59.11,.00,.09,40.83,59.17,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Colorado,0,6,0,"776,986","296,767","Goldwater, Barry M. Sr.",Challenger,"476,024","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,"4,195",,"179,257",D,38.19,61.27,.00,.54,38.40,61.60,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Connecticut,0,8,0,"1,218,578","390,996","Goldwater, Barry M. Sr.",Challenger,"826,269","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,"1,313",,"435,273",D,32.09,67.81,.00,.11,32.12,67.88,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Delaware,0,3,0,"201,320","78,078","Goldwater, Barry M. Sr.",Challenger,"122,704","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,538,,"44,626",D,38.78,60.95,.00,.27,38.89,61.11,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,District of Columbia,0,3,0,"198,597","28,801","Goldwater, Barry M. Sr.",Challenger,"169,796","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,N/A,,"140,995",D,14.50,85.50,.00,.00,14.50,85.50,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,19641103,N/A,Florida,0,14,0,"1,854,481","905,941","Goldwater, Barry M. Sr.",Challenger,"948,540","Johnson, Lyndon B. ",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL  ",Challenger,N/A,,"42,599",D,48.85,51.15,.00,.00,48.85,51.15,,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
