Name,Gender,Religion
Ayyub,M,Muslim
Azaan,M,Muslim
Azad,M,Muslim
Babar,M,Muslim
Badr al Din,M,Muslim
Bashir,M,Muslim
Dameer,M,Muslim
Darim,M,Muslim
Dayyan,M,Muslim
Ehan,M,Muslim
Ehsan,M,Muslim
El-Amin,M,Muslim
Faakhir,M,Muslim
Fadil,M,Muslim
Ghalib,M,Muslim
Ghayoor,M,Muslim
Gulzar,M,Muslim
Haaziq,M,Muslim
Habib,M,Muslim
Ihsan,M,Muslim
Jabbar,M,Muslim
Jad Allah,M,Muslim
Kaamil,M,Muslim
Kafeel,M,Muslim
Labeeb,M,Muslim
Lahi'ah,M,Muslim
Mabad,M,Muslim
Madani,M,Muslim
Nahid,M,Muslim
Naqeeb,M,Muslim
Omar,M,Muslim
Owais,M,Muslim
Pervaiz,M,Muslim
Parsa,M,Muslim
Qabeel,M,Muslim
Qadeer,M,Muslim
Qadi,M,Muslim
Raahil,M,Muslim
Raashid,M,Muslim
Rabee,M,Muslim
Saadat,M,Muslim
Taheem,M,Muslim
Taslim,M,Muslim
Ubadah,M,Muslim
Usman,M,Muslim
Wafiq,M,Muslim
Yafi,M,Muslim
Yaqub,M,Muslim
Zafar,M,Muslim
Zakar,M,Muslim
Ayah,F,Muslim
Aisha,F,Muslim
Amina,F,Muslim
Badeeah,F,Muslim
Bahar,F,Muslim
Chafia,F,Muslim
Chahrazad,F,Muslim
Dafiya,F,Muslim
Daneen,F,Muslim
Eiman,F,Muslim
Eshal,F,Muslim
Faaiza,F,Muslim
Faakhira,F,Muslim
Ghadah,F,Muslim
Ghufrana,F,Muslim
Haadiya,F,Muslim
Habeeba,F,Muslim
Ibadah,F,Muslim
Jannat,F,Muslim
Jahan,F,Muslim
Jahida,F,Muslim
Kaifiya,F,Muslim
Kareema,F,Muslim
Lafiza,F,Muslim
Lamah,F,Muslim
Maahnoor,F,Muslim
Majidah,F,Muslim
Manaal,F,Muslim
Nasra,F,Muslim
Nihala,F,Muslim
Obaidiyah,F,Muslim
Omera,F,Muslim
Pakiza,F,Muslim
Parsa,F,Muslim
Qaaria,F,Muslim
Qudsiyah,F,Muslim
Rafeeqa,F,Muslim
Reyah,F,Muslim
Saafia,F,Muslim
Salama,F,Muslim
Tahira,F,Muslim
Taneem,F,Muslim
Udaina,F,Muslim
Urwah,F,Muslim
Waniya,F,Muslim
Wardah,F,Muslim
